idpregunta;traffictest;fotoRouteComplete;textopregunta;vecesHecha;mediaFallada;vecesHechaExperimento;mediaFalladaExperimento;respuesta1;respuesta2;respuesta3;respuesta4;respuestaCorrecta;idTema;temaDenominacion;idSubtema;subtemaDenominacion;descatalogada;idRespuesta1;idRespuesta2;idRespuesta3;idRespuesta4;idRespuestaCorrecta;enableForContent;enableForTestLesson;enableForTestExam;enableForTestKiller;enableForTestReview
67691;114232;Iveralso/6723.jpeg;"Si un agente de tráfico le solicita la documentación, ¿puede acreditar la titularidad de su permiso de conducción en formato digital?";720;2,08;672;2,08;"Sí, mediante la aplicación móvil miDGT.";"No, es obligatorio presentarlo en formato físico.";"Sí, pero tiene que presentarlo también en formato físico.";;"Sí, mediante la aplicación móvil miDGT.";3198;"11 Permisos de Conducir";20581;"Tipos de Permisos de Conducción.";No;229371;229372;229373;;229371;No;No;No;No;Si
67692;114270;Iveralso/2460.jpg;"En una calzada de doble sentido de circulación en la que no están delimitados los carriles, está obligado a circular por...";732;2,45;687;2,32;"el lugar de la calzada que crea más seguro.";"el eje imaginario de la calzada.";"la derecha, lo más cerca posible del borde de la calzada.";;"la derecha, lo más cerca posible del borde de la calzada.";3199;"06 Uso de la via y Adelantamientos";20770;"Adelantamiento en Vías Urbanas sin Delimitar.";No;229374;229375;229376;;229376;No;No;No;No;Si
67694;114432;Iveralso/6724.jpeg;"Los reposacabezas sirven fundamentalmente para...";9306;10,72;8826;10,68;"proteger el cuello en caso de accidente.";"apoyar la cabeza y evitar la aparición de la fatiga en el cuello.";"instalar reproductores de vídeo para los ocupantes de los asientos traseros.";;"proteger el cuello en caso de accidente.";3197;"13 Personas y Mercancias Transportadas";20626;"Distancia del Reposacabezas.";No;229380;229381;229382;;229380;No;Si;Si;No;No
67695;114522;Iveralso/6412.jpg;"Si cambia de domicilio, ¿tiene obligación de comunicarlo a la Jefatura de Tráfico?";686;3,79;650;4;No.;"Sí, pero lo comunicaré cuando caduque la validez del permiso de conducción.";"Sí, debo comunicar el nuevo domicilio en un plazo de 15 días.";;"Sí, debo comunicar el nuevo domicilio en un plazo de 15 días.";3198;"11 Permisos de Conducir";20581;"Tipos de Permisos de Conducción.";No;229383;229384;229385;;229385;No;No;No;No;Si
67697;115326;Iveralso/6480.jpg;"En los días de mucho viento, ¿cómo es recomendable llevar las ventanillas del vehículo?";699;1,43;643;1,39;"A medio abrir, para mejorar la aerodinámica.";"Cerradas, para evitar que entre polvo o algún objeto inesperado.";"Abiertas, para ventilar mejor el habitáculo del vehículo.";;"Cerradas, para evitar que entre polvo o algún objeto inesperado.";3202;"18 Factores Humano, Vía, Vehículo";20616;"El Viento.";No;229389;229390;229391;;229390;No;No;No;No;Si
67701;116109;Iveralso/6665.jpeg;"¿A qué velocidad máxima puede circular por una autopista un turismo que arrastra un remolque ligero?";10480;17,92;9941;17,78;"A 90 km/h.";"A 120 km/h.";"A 100 km/h.";;"A 90 km/h.";3196;"15 Velocidad";20511;"Via sin pavimentar";No;229401;229402;229403;;229401;Si;Si;Si;No;No
67702;116296;Iveralso/3516.jpg;"¿Cuándo termina la prohibición de adelantar?";709;2,25;663;2,41;"Cuando se sobrepasa la señal de fin de prohibido adelantar.";"Cuando se llega a un cruce.";"Cuando se llega a un tramo con curvas.";;"Cuando se sobrepasa la señal de fin de prohibido adelantar.";3193;"07 Señales de Peligro y Prohibición";20450;"Fin de prohibido adelantar";No;229404;229405;229406;;229404;No;No;No;No;Si
67703;116328;Iveralso/6819.jpeg;"Entre la puesta y la salida del sol, ¿en cuál de las siguientes situaciones puede encender solamente la luz de posición, y prescindir de las luces de corto y de largo alcance?";11779;34,92;11211;35,01;"Al circular por una carretera suficientemente iluminada.";"Al circular por una vía urbana suficientemente iluminada.";"Al inmovilizar el vehículo en el arcén de una vía interurbana.";;"Al inmovilizar el vehículo en el arcén de una vía interurbana.";3204;"16 Luces";20818;"luz de posición trasera";No;229407;229408;229409;;229409;Si;Si;Si;No;No
67705;118525;Iveralso/6159.jpg;"En esta vía se ha habilitado un carril adicional circunstancial, ¿a qué velocidad, como mínimo, deberán circular por dicho carril?";10850;22,57;10324;22,74;"80 km/h.";"60 km/h o inferior si así estuviese señalizado.";"A la mitad de la genérica señalada para cada categoría de vehículos.";;"60 km/h o inferior si así estuviese señalizado.";3191;"09 Arcenes y Carriles Especiales";20495;"Carril Adicional.";No;229413;229414;229415;;229414;Si;Si;Si;No;No
67706;118537;Iveralso/6141.jpg;"Durante el día, las motocicletas están obligadas a llevar encendida la luz de cruce...";10149;12,89;9645;12,97;"cuando circulen por cualquier tipo de vía.";"cuando circulen por vías interurbanas, solamente.";"cuando las condiciones climatológicas sean adversas, solamente.";;"cuando circulen por cualquier tipo de vía.";3204;"16 Luces";20572;"Luces en Motos, Gálibo, Xenon y Adaptativas.";No;229416;229417;229418;;229416;No;Si;Si;No;No
67707;147308;Iveralso/5524.jpg;"En esta intersección sin señales de preferencia, circulan ciclistas, ¿cuándo debe cederles el paso?";1265;3,32;1144;2,79;"Cuando se aproximen por la izquierda.";"Cuando se aproximen por la derecha.";"Nunca, los vehículos a motor siempre tienen preferencia sobre las bicicletas.";;"Cuando se aproximen por la derecha.";3194;"10 Preferencias";20766;"Interseccion con ciclistas";No;229419;229420;229421;;229420;No;No;No;No;Si
67708;278590;Iveralso/5354.jpg;"En las glorietas, ¿está permitido adelantar?";9760;8,12;9250;7,84;"No, son intersecciones.";Sí.;"Solo en las que se encuentran en vías urbanas.";;Sí.;3191;"09 Arcenes y Carriles Especiales";20494;"Circulación en Glorietas.";No;229422;229423;229424;;229423;No;Si;Si;No;No
67709;278631;Iveralso/6182.jpg;"Los límites de velocidad que se establecen para una vía, se fijan en función de...";9824;10,95;9302;10,56;"su trazado y del volumen del tráfico que vaya a soportar, entre otros factores.";"criterios económicos, fundamentalmente.";"su trazado y del número de curvas, únicamente.";;"su trazado y del volumen del tráfico que vaya a soportar, entre otros factores.";3196;"15 Velocidad";20510;"Porque se Ponen los Límites y Vision Túnel.";No;229425;229426;229427;;229425;No;Si;Si;No;No
67711;320002;Iveralso/3716.jpg;"¿Cúal es el crédito máximo de puntos que puede acumular un conductor?";10871;7,41;10328;7,36;"12 puntos.";"15 puntos.";"8 puntos.";;"15 puntos.";3198;"11 Permisos de Conducir";20490;"Permiso por Puntos.";No;229431;229432;229433;;229432;No;Si;Si;No;No
67714;320011;Iveralso/3650.jpg;"En una situación de lluvia y ciclistas circulando, debemos...";714;1,82;668;1,94;"al estar cerca de ellos hacer señales acústicas para indicar nuestra presencia.";"mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";"extremar la precaución porque existe más probabilidad de caídas.";;"extremar la precaución porque existe más probabilidad de caídas.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229440;229441;229442;;229442;No;No;No;No;Si
67715;320013;Iveralso/5034.jpg;"La depresión es una grave enfermedad que se sufre cada vez con más frecuencia. Si se padece debemos saber que...";729;1,37;688;1,45;"no debemos conducir hasta pasada al menos una hora de habernos medicado.";"los medicamentos para su tratamiento pueden producir alteraciones que afectan a la conducción.";"si no nos medicamos no tiene efectos sobre la conducción.";;"los medicamentos para su tratamiento pueden producir alteraciones que afectan a la conducción.";3206;"17 Tiempo y Distancia de Reacción y Factores Que Intervienen";20600;"Enfermedades, Estres y Depresión.";No;229443;229444;229445;;229444;No;No;No;No;Si
67716;320018;Iveralso/5144.jpg;"¿Cuál es el crédito inicial de puntos asignados a un conductor que obtiene su primer permiso de conducción?";684;0,58;647;0,61;"8 puntos.";"12 puntos.";"15 puntos.";;"8 puntos.";3198;"11 Permisos de Conducir";20490;"Permiso por Puntos.";No;229446;229447;229448;;229446;No;No;No;No;Si
67717;320019;Iveralso/4975.jpg;"Al acercarse a un mercado, ¿qué precauciones se deben tomar?";677;1,62;627;1,59;"Moderar la velocidad y si fuera preciso, detener el vehículo.";"Hacer señales acústicas para indicar nuestra presencia.";"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229449;229450;229451;;229449;No;No;No;No;Si
67718;320021;Iveralso/4172.jpg;"Fuera de poblado, al acercarse a un vehículo inmovilizado en la calzada, ¿qué precauciones se deben tomar?";698;2,57;654;2,59;"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";"Moderar la velocidad y si fuera preciso, detener el vehículo.";"Ninguna si no vienen vehículos en sentido contrario.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229452;229453;229454;;229453;No;No;No;No;Si
67720;320024;Iveralso/3683.jpg;"En caso de niebla densa, ¿qué precauciones se deben tomar?";9903;10,42;9383;10,50;"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";"Ninguna si no vienen vehículos en sentido contrario.";"Moderar la velocidad y si fuera preciso, detener el vehículo.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229458;229459;229460;;229460;No;Si;Si;No;No
67722;320027;Iveralso/5055.jpg;"En caso de circular con lluvia intensa, ¿qué precauciones se deben tomar?";691;1,59;642;1,55;"Moderar la velocidad y si fuera preciso, detener el vehículo.";"Ninguna si no vienen vehículos en sentido contrario.";"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229464;229465;229466;;229464;No;No;No;No;Si
67723;320028;Iveralso/4334.jpg;"En las proximidades de vías de uso exclusivo de ciclos, ¿qué precauciones se deben tomar?.";662;0,75;629;0,79;"Moderar la velocidad y si fuera preciso, detener el vehículo.";"Hacer señales acústicas para indicar nuestra presencia.";"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229467;229468;229469;;229467;No;No;No;No;Si
67724;320030;Iveralso/4608.jpg;"En un tramo con edificios de acceso inmediato a la vía ¿qué precauciones se deben tomar?";703;1,56;655;1,52;"Ninguna si no vienen vehículos en sentido contrario.";"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";"Moderar la velocidad y si fuera preciso, detener el vehículo.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229470;229471;229472;;229472;No;No;No;No;Si
67726;320038;Iveralso/6119.jpg;"Al aproximarse a un autobús en situación de parada, ¿qué precauciones se deben tomar?";683;1,17;639;1,25;"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";"Ninguna si no vienen vehículos en sentido contrario.";"Moderar la velocidad y si fuera preciso, detener el vehículo.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229476;229477;229478;;229478;No;No;No;No;Si
67728;320040;Iveralso/3830.jpg;"Al aproximarse a ciclos circulando, ¿qué precauciones se deben tomar?";10094;12,14;9567;12,10;"Aumentar la velocidad para adelantarles cuanto antes.";"Moderar la velocidad y si fuera preciso, detener el vehículo.";"Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.";;"Moderar la velocidad y si fuera preciso, detener el vehículo.";3196;"15 Velocidad";20504;"Casos en los que Moderar la Velocidad.";No;229482;229483;229484;;229483;No;Si;Si;No;No
67734;320054;Iveralso/2233.jpg;"Fuera de poblado, deberán circular siempre por su derecha...";10174;15,67;9655;15,48;"todo grupo de peatones dirigido por una persona.";"los peatones, pero en poblado.";"todos los peatones.";;"todo grupo de peatones dirigido por una persona.";3191;"09 Arcenes y Carriles Especiales";20501;"Circulación de Peatones.";No;229500;229501;229502;;229500;No;Si;Si;No;No
67736;320061;Iveralso/851.jpg;"En esta vía se ha habilitado un carril adicional. ¿Circula correctamente el turismo amarillo?";10244;15,91;9726;15,71;"Sí, siempre que no supere los 80 km/h.";"No, porque no lleva encendida, al menos, la luz de cruce.";"No, porque circula invadiendo el arcén.";;"No, porque no lleva encendida, al menos, la luz de cruce.";3191;"09 Arcenes y Carriles Especiales";20495;"Carril Adicional.";No;229506;229507;229508;;229507;No;Si;Si;No;No
67740;320085;Iveralso/2840.jpg;"¿Qué indica esta señal?";11238;7,10;10696;7,07;"Calzada obligatoria para vehículos que transporten mercancías explosivas.";"Entrada prohibida a vehículos que transporten mercancías peligrosas.";"Entrada prohibida a vehículos que transporten mercancías explosivas o inflamables.";;"Entrada prohibida a vehículos que transporten mercancías explosivas o inflamables.";3193;"07 Señales de Peligro y Prohibición";20750;"prohibido productos contaminantes";No;229518;229519;229520;;229520;No;Si;Si;No;No
67741;320086;Iveralso/1980.jpg;"El conductor de una motocicleta, que lleva una persona en el asiento trasero ...";696;2,15;646;2,32;"debe utilizar el casco protector y aconsejar al acompañante que lo utilice.";"debe utilizar el casco protector y será responsable de que lo utilice el acompañante.";"debe utilizar el casco protector y será responsable de que lo utilice el acompañante, pero sólo en vías interurbanas.";;"debe utilizar el casco protector y será responsable de que lo utilice el acompañante.";3203;"19 Motocicleta";20634;"Casco en Motos Cerradas.";No;229521;229522;229523;;229522;No;No;No;No;Si
67743;320093;Iveralso/1784.jpg;"La prohibición de circular a velocidad superior a la indicada por la señal finaliza...";12557;24,82;11885;24,57;"solamente cuando encuentre una señal de Fin de la limitación de velocidad.";"cuando rebase el tramo regulado por semáforo.";"solamente cuando encuentre otra señal de Fin de prohibiciones u otra de Velocidad máxima.";;"cuando rebase el tramo regulado por semáforo.";3193;"07 Señales de Peligro y Prohibición";20419;"Señales de Peligro y Peligro con Velocidad.";No;229527;229528;229529;;229528;Si;Si;Si;No;No
67744;320098;Iveralso/2997.jpg;"Los principios de la conducción preventiva son...";692;1,87;649;1,84;"velocidad, desconfianza y espacio.";"aceleración, anticipación y desconfianza.";"visión, anticipación y espacio.";;"visión, anticipación y espacio.";3202;"18 Factores Humano, Vía, Vehículo";20585;"Conducción Preventiva.";No;229530;229531;229532;;229532;No;No;No;No;Si
67746;320101;Iveralso/3063.jpg;"¿Qué precaución debe adoptar si instala un dispositivo de retención orientado hacia atrás?";976;4,91;673;4,75;"Que el dispositivo de retención esté fuera del alcance del airbag.";"Desactivar el airbag frontal de forma automática o manual.";"No se puede instalar el dispositivo si el vehículo está equipado con airbag frontal.";;"Desactivar el airbag frontal de forma automática o manual.";3197;"13 Personas y Mercancias Transportadas";20627;"Airbag moto";No;229536;229537;229538;;229537;No;No;No;No;Si
67749;320109;Iveralso/879.jpg;"Los excesos de velocidad ...";698;2;648;1,85;"junto con las distracciones, son responsables de la mayoría de los accidentes.";"son responsables de la mayoría de los accidentes, en vías de doble sentido solamente.";"hoy apenas tienen incidencia en los accidentes, debido a la seguridad de los vehículos.";;"junto con las distracciones, son responsables de la mayoría de los accidentes.";3202;"18 Factores Humano, Vía, Vehículo";20540;"El Factor Humano en los Accidentes.";No;229545;229546;229547;;229545;No;No;No;No;Si
67750;320114;Iveralso/48.jpg;"La señal ...";2404;4,53;2358;4,58;"reitera la información dada por otra señal de peligro anterior.";"indica la proximidad de un peligro distinto de los advertidos por otras señales.";"indica la proximidad de un tramo con tráfico denso.";;"indica la proximidad de un peligro distinto de los advertidos por otras señales.";3193;"07 Señales de Peligro y Prohibición";20424;"otros peligros";No;229548;229549;229550;;229549;No;No;No;No;Si
67751;320118;Iveralso/283.jpg;"En una intersección, ¿está permitido realizar un cambio de sentido?";13774;21,39;13019;21,25;"No, como norma general.";"No, está prohibido siempre.";"Sí, siempre que se pueda efectuar la maniobra en un solo giro.";;"No, como norma general.";3200;"04 Cambios de direccion, de sentido y marcha atrás";20544;"Lugares Prohibidos para Cambiar el Sentido.";No;229551;229552;229553;;229551;Si;Si;Si;No;No
67753;320122;Iveralso/4205.jpg;"Si por obras en la vía, se ha abierto un carril en sentido contrario al habitual, ¿puede circular por este carril un vehículo mixto?";10045;13,27;9536;13,28;"Sí, pero sólo cuando transporte pasajeros";"No, porque sólo pueden circular turismos y motocicletas";Sí;;Sí;3191;"09 Arcenes y Carriles Especiales";20498;"Carril de Sentido Contrario al Habitual por Obras.";No;229557;229558;229559;;229559;No;Si;Si;No;No
67754;320124;Iveralso/3166.jpg;"Un semáforo con una o dos luces rojas intermitentes prohíbe temporalmente el paso de los vehículos por...";15625;17,15;14834;17,25;obras.;accidente.;"salida de vehículos de extinción de incendios.";;"salida de vehículos de extinción de incendios.";3190;"02 Señalizacion";20396;"Semáforo intermitente con señal de STOP";No;229560;229561;229562;;229562;Si;Si;Si;No;No
67755;320129;Iveralso/1049.jpg;"Por la izquierda de una línea continua, ¿se puede circular?";16118;37,80;15260;37,56;"No, en ningún caso.";"Sí, para adelantar.";"Sí, si la vía es de sentido único.";;"Sí, si la vía es de sentido único.";3192;"03 Marcas Viales";20692;"Lado por el que Circular con Isletas y/o Continua.";No;229563;229564;229565;;229565;Si;Si;Si;No;No
67756;320130;Iveralso/1760.jpg;"En carretera, ¿cuándo puede adelantar por la derecha?";10795;15,65;10210;15,64;"Cuando conduzco por una calzada con más de dos carriles.";"Cuando está libre el carril de la derecha.";"Cuando el vehículo que va delante va a girar a la izquierda y hay espacio libre en la calzada.";;"Cuando el vehículo que va delante va a girar a la izquierda y hay espacio libre en la calzada.";3199;"06 Uso de la via y Adelantamientos";20690;"Excepciones Adelantamiento por la Derecha.";No;229566;229567;229568;;229568;No;Si;Si;No;No
67758;320134;Iveralso/2325.jpg;"En una vía en la que se ha habilitado un carril adicional circunstancial, ¿qué vehículos están obligados a llevar encendida, al menos, la luz de cruce?";10221;15,97;9725;15,79;Todos.;"Sólo los vehículos que circulen por el carril adicional.";"Sólo los vehículos que circulen por los arcenes.";;Todos.;3191;"09 Arcenes y Carriles Especiales";20495;"Carril Adicional.";No;229572;229573;229574;;229572;No;Si;Si;No;No
67759;320136;Iveralso/1974.jpg;"Un conductor, ¿está obligado a colaborar en las pruebas de detección de emisión de gases contaminantes de su vehículo?";9213;10,50;8749;10,48;"Sí, están obligados todos los conductores de vehículos.";"Sí, pero unicamente cuando pase la ITV.";"No, unicamente está obligado a colaborar en las pruebas de alcoholemia.";;"Sí, están obligados todos los conductores de vehículos.";3207;"14 Mecánica";20740;"Etiquetas Contaminación";No;229575;229576;229577;;229575;No;Si;Si;No;No
67760;320137;Iveralso/2756.jpg;"En vía urbana de un solo sentido, los usuarios de un vehículo estacionado deberán salir de él...";12203;15,18;11528;15,10;"por el lado derecho o izquierdo, según el lado de la calzada donde se efectúe la inmovilización.";"siempre por el lado del conductor.";"por el lado derecho.";;"por el lado derecho o izquierdo, según el lado de la calzada donde se efectúe la inmovilización.";3201;"05 Inmovilizaciones";20569;"Antes de Bajarnos del Coche.";No;229578;229579;229580;;229578;No;Si;Si;No;No
67761;320141;Iveralso/2083.jpg;"¿Qué velocidades o marchas sirven para conseguir más velocidad?";9375;12,50;8881;12,56;"La 4ª y la 5ª.";"La 1ª y la 2ª.";"La 3ª y la 4ª.";;"La 4ª y la 5ª.";3207;"14 Mecánica";20642;"Aceite, Líquido Refrigerante y Las Marchas.";No;229581;229582;229583;;229581;No;Si;Si;No;No
67762;320142;Iveralso/6005.jpg;"Un camión de menos de 3.500 kg de MMA, ¿a qué velocidad máxima puede circular por autovía?";10658;19,04;10119;19,04;"A 120 km/h.";"A 100 km/h.";"A 90 km/h.";;"A 90 km/h.";3196;"15 Velocidad";20511;"Via sin pavimentar";No;229584;229585;229586;;229586;Si;Si;Si;No;No
67763;320147;Iveralso/2754.jpg;"Una línea discontinua con trazos muy juntos, ¿qué indica?";13438;13,76;12749;13,85;"La proximidad de un carril para tráfico lento.";"La proximidad de un tramo peligroso.";"Un carril especial.";;"La proximidad de un tramo peligroso.";3192;"03 Marcas Viales";20481;"Flecha fin de carril";No;229587;229588;229589;;229588;No;Si;Si;No;No
