source_id;pregunta;opcion_1;opcion_2;opcion_3;respuesta_correcta;tema;subtema;pct_fallo;depende_imagen;cobertura_rgc
67692;En una calzada de doble sentido de circulación en la que no están delimitados los carriles, está obligado a circular por...;el lugar de la calzada que crea más seguro.;el eje imaginario de la calzada.;la derecha, lo más cerca posible del borde de la calzada.;la derecha, lo más cerca posible del borde de la calzada.;06 Uso de la via y Adelantamientos;Adelantamiento en Vías Urbanas sin Delimitar.;2.45;no;rgc
67694;Los reposacabezas sirven fundamentalmente para...;proteger el cuello en caso de accidente.;apoyar la cabeza y evitar la aparición de la fatiga en el cuello.;instalar reproductores de vídeo para los ocupantes de los asientos traseros.;proteger el cuello en caso de accidente.;13 Personas y Mercancias Transportadas;Distancia del Reposacabezas.;10.72;no;mixto
67695;Si cambia de domicilio, ¿tiene obligación de comunicarlo a la Jefatura de Tráfico?;No.;Sí, pero lo comunicaré cuando caduque la validez del permiso de conducción.;Sí, debo comunicar el nuevo domicilio en un plazo de 15 días.;Sí, debo comunicar el nuevo domicilio en un plazo de 15 días.;11 Permisos de Conducir;Tipos de Permisos de Conducción.;3.79;no;fuera
67697;En los días de mucho viento, ¿cómo es recomendable llevar las ventanillas del vehículo?;A medio abrir, para mejorar la aerodinámica.;Cerradas, para evitar que entre polvo o algún objeto inesperado.;Abiertas, para ventilar mejor el habitáculo del vehículo.;Cerradas, para evitar que entre polvo o algún objeto inesperado.;18 Factores Humano, Vía, Vehículo;El Viento.;1.43;no;fuera
67701;¿A qué velocidad máxima puede circular por una autopista un turismo que arrastra un remolque ligero?;A 90 km/h.;A 120 km/h.;A 100 km/h.;A 90 km/h.;15 Velocidad;Via sin pavimentar;17.92;no;rgc
67702;¿Cuándo termina la prohibición de adelantar?;Cuando se sobrepasa la señal de fin de prohibido adelantar.;Cuando se llega a un cruce.;Cuando se llega a un tramo con curvas.;Cuando se sobrepasa la señal de fin de prohibido adelantar.;07 Señales de Peligro y Prohibición;Fin de prohibido adelantar;2.25;no;rgc
67703;Entre la puesta y la salida del sol, ¿en cuál de las siguientes situaciones puede encender solamente la luz de posición, y prescindir de las luces de corto y de largo alcance?;Al circular por una carretera suficientemente iluminada.;Al circular por una vía urbana suficientemente iluminada.;Al inmovilizar el vehículo en el arcén de una vía interurbana.;Al inmovilizar el vehículo en el arcén de una vía interurbana.;16 Luces;luz de posición trasera;34.92;no;rgc
67705;En esta vía se ha habilitado un carril adicional circunstancial, ¿a qué velocidad, como mínimo, deberán circular por dicho carril?;80 km/h.;60 km/h o inferior si así estuviese señalizado.;A la mitad de la genérica señalada para cada categoría de vehículos.;60 km/h o inferior si así estuviese señalizado.;09 Arcenes y Carriles Especiales;Carril Adicional.;22.57;no;rgc
67706;Durante el día, las motocicletas están obligadas a llevar encendida la luz de cruce...;cuando circulen por cualquier tipo de vía.;cuando circulen por vías interurbanas, solamente.;cuando las condiciones climatológicas sean adversas, solamente.;cuando circulen por cualquier tipo de vía.;16 Luces;Luces en Motos, Gálibo, Xenon y Adaptativas.;12.89;no;rgc
67707;En esta intersección sin señales de preferencia, circulan ciclistas, ¿cuándo debe cederles el paso?;Cuando se aproximen por la izquierda.;Cuando se aproximen por la derecha.;Nunca, los vehículos a motor siempre tienen preferencia sobre las bicicletas.;Cuando se aproximen por la derecha.;10 Preferencias;Interseccion con ciclistas;3.32;no;rgc
67708;En las glorietas, ¿está permitido adelantar?;No, son intersecciones.;Sí.;Solo en las que se encuentran en vías urbanas.;Sí.;09 Arcenes y Carriles Especiales;Circulación en Glorietas.;8.12;no;rgc
67709;Los límites de velocidad que se establecen para una vía, se fijan en función de...;su trazado y del volumen del tráfico que vaya a soportar, entre otros factores.;criterios económicos, fundamentalmente.;su trazado y del número de curvas, únicamente.;su trazado y del volumen del tráfico que vaya a soportar, entre otros factores.;15 Velocidad;Porque se Ponen los Límites y Vision Túnel.;10.95;no;rgc
67711;¿Cúal es el crédito máximo de puntos que puede acumular un conductor?;12 puntos.;15 puntos.;8 puntos.;15 puntos.;11 Permisos de Conducir;Permiso por Puntos.;7.41;no;fuera
67714;En una situación de lluvia y ciclistas circulando, debemos...;al estar cerca de ellos hacer señales acústicas para indicar nuestra presencia.;mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;extremar la precaución porque existe más probabilidad de caídas.;extremar la precaución porque existe más probabilidad de caídas.;15 Velocidad;Casos en los que Moderar la Velocidad.;1.82;no;rgc
67715;La depresión es una grave enfermedad que se sufre cada vez con más frecuencia. Si se padece debemos saber que...;no debemos conducir hasta pasada al menos una hora de habernos medicado.;los medicamentos para su tratamiento pueden producir alteraciones que afectan a la conducción.;si no nos medicamos no tiene efectos sobre la conducción.;los medicamentos para su tratamiento pueden producir alteraciones que afectan a la conducción.;17 Tiempo y Distancia de Reacción y Factores Que Intervienen;Enfermedades, Estres y Depresión.;1.37;no;fuera
67716;¿Cuál es el crédito inicial de puntos asignados a un conductor que obtiene su primer permiso de conducción?;8 puntos.;12 puntos.;15 puntos.;8 puntos.;11 Permisos de Conducir;Permiso por Puntos.;0.58;no;fuera
67717;Al acercarse a un mercado, ¿qué precauciones se deben tomar?;Moderar la velocidad y si fuera preciso, detener el vehículo.;Hacer señales acústicas para indicar nuestra presencia.;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;1.62;no;rgc
67718;Fuera de poblado, al acercarse a un vehículo inmovilizado en la calzada, ¿qué precauciones se deben tomar?;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Moderar la velocidad y si fuera preciso, detener el vehículo.;Ninguna si no vienen vehículos en sentido contrario.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;2.57;no;rgc
67720;En caso de niebla densa, ¿qué precauciones se deben tomar?;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Ninguna si no vienen vehículos en sentido contrario.;Moderar la velocidad y si fuera preciso, detener el vehículo.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;10.42;no;rgc
67722;En caso de circular con lluvia intensa, ¿qué precauciones se deben tomar?;Moderar la velocidad y si fuera preciso, detener el vehículo.;Ninguna si no vienen vehículos en sentido contrario.;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;1.59;no;rgc
67723;En las proximidades de vías de uso exclusivo de ciclos, ¿qué precauciones se deben tomar?.;Moderar la velocidad y si fuera preciso, detener el vehículo.;Hacer señales acústicas para indicar nuestra presencia.;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;0.75;no;rgc
67724;En un tramo con edificios de acceso inmediato a la vía ¿qué precauciones se deben tomar?;Ninguna si no vienen vehículos en sentido contrario.;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Moderar la velocidad y si fuera preciso, detener el vehículo.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;1.56;no;rgc
67726;Al aproximarse a un autobús en situación de parada, ¿qué precauciones se deben tomar?;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Ninguna si no vienen vehículos en sentido contrario.;Moderar la velocidad y si fuera preciso, detener el vehículo.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;1.17;no;rgc
67728;Al aproximarse a ciclos circulando, ¿qué precauciones se deben tomar?;Aumentar la velocidad para adelantarles cuanto antes.;Moderar la velocidad y si fuera preciso, detener el vehículo.;Mantener la velocidad y estar atento al cumplimiento de la señalización vertical.;Moderar la velocidad y si fuera preciso, detener el vehículo.;15 Velocidad;Casos en los que Moderar la Velocidad.;12.14;no;rgc
67734;Fuera de poblado, deberán circular siempre por su derecha...;todo grupo de peatones dirigido por una persona.;los peatones, pero en poblado.;todos los peatones.;todo grupo de peatones dirigido por una persona.;09 Arcenes y Carriles Especiales;Circulación de Peatones.;15.67;no;rgc
67736;En esta vía se ha habilitado un carril adicional. ¿Circula correctamente el turismo amarillo?;Sí, siempre que no supere los 80 km/h.;No, porque no lleva encendida, al menos, la luz de cruce.;No, porque circula invadiendo el arcén.;No, porque no lleva encendida, al menos, la luz de cruce.;09 Arcenes y Carriles Especiales;Carril Adicional.;15.91;no;rgc
67740;¿Qué indica esta señal?;Calzada obligatoria para vehículos que transporten mercancías explosivas.;Entrada prohibida a vehículos que transporten mercancías peligrosas.;Entrada prohibida a vehículos que transporten mercancías explosivas o inflamables.;Entrada prohibida a vehículos que transporten mercancías explosivas o inflamables.;07 Señales de Peligro y Prohibición;prohibido productos contaminantes;7.10;si;rgc
67741;El conductor de una motocicleta, que lleva una persona en el asiento trasero ...;debe utilizar el casco protector y aconsejar al acompañante que lo utilice.;debe utilizar el casco protector y será responsable de que lo utilice el acompañante.;debe utilizar el casco protector y será responsable de que lo utilice el acompañante, pero sólo en vías interurbanas.;debe utilizar el casco protector y será responsable de que lo utilice el acompañante.;19 Motocicleta;Casco en Motos Cerradas.;2.15;no;mixto
67743;La prohibición de circular a velocidad superior a la indicada por la señal finaliza...;solamente cuando encuentre una señal de Fin de la limitación de velocidad.;cuando rebase el tramo regulado por semáforo.;solamente cuando encuentre otra señal de Fin de prohibiciones u otra de Velocidad máxima.;cuando rebase el tramo regulado por semáforo.;07 Señales de Peligro y Prohibición;Señales de Peligro y Peligro con Velocidad.;24.82;si;rgc
67744;Los principios de la conducción preventiva son...;velocidad, desconfianza y espacio.;aceleración, anticipación y desconfianza.;visión, anticipación y espacio.;visión, anticipación y espacio.;18 Factores Humano, Vía, Vehículo;Conducción Preventiva.;1.87;no;fuera
67746;¿Qué precaución debe adoptar si instala un dispositivo de retención orientado hacia atrás?;Que el dispositivo de retención esté fuera del alcance del airbag.;Desactivar el airbag frontal de forma automática o manual.;No se puede instalar el dispositivo si el vehículo está equipado con airbag frontal.;Desactivar el airbag frontal de forma automática o manual.;13 Personas y Mercancias Transportadas;Airbag moto;4.91;no;mixto
67749;Los excesos de velocidad ...;junto con las distracciones, son responsables de la mayoría de los accidentes.;son responsables de la mayoría de los accidentes, en vías de doble sentido solamente.;hoy apenas tienen incidencia en los accidentes, debido a la seguridad de los vehículos.;junto con las distracciones, son responsables de la mayoría de los accidentes.;18 Factores Humano, Vía, Vehículo;El Factor Humano en los Accidentes.;2;no;fuera
67750;La señal ...;reitera la información dada por otra señal de peligro anterior.;indica la proximidad de un peligro distinto de los advertidos por otras señales.;indica la proximidad de un tramo con tráfico denso.;indica la proximidad de un peligro distinto de los advertidos por otras señales.;07 Señales de Peligro y Prohibición;otros peligros;4.53;no;rgc
67751;En una intersección, ¿está permitido realizar un cambio de sentido?;No, como norma general.;No, está prohibido siempre.;Sí, siempre que se pueda efectuar la maniobra en un solo giro.;No, como norma general.;04 Cambios de direccion, de sentido y marcha atrás;Lugares Prohibidos para Cambiar el Sentido.;21.39;no;rgc
67753;Si por obras en la vía, se ha abierto un carril en sentido contrario al habitual, ¿puede circular por este carril un vehículo mixto?;Sí, pero sólo cuando transporte pasajeros;No, porque sólo pueden circular turismos y motocicletas;Sí;Sí;09 Arcenes y Carriles Especiales;Carril de Sentido Contrario al Habitual por Obras.;13.27;no;rgc
67754;Un semáforo con una o dos luces rojas intermitentes prohíbe temporalmente el paso de los vehículos por...;obras.;accidente.;salida de vehículos de extinción de incendios.;salida de vehículos de extinción de incendios.;02 Señalizacion;Semáforo intermitente con señal de STOP;17.15;no;rgc
67755;Por la izquierda de una línea continua, ¿se puede circular?;No, en ningún caso.;Sí, para adelantar.;Sí, si la vía es de sentido único.;Sí, si la vía es de sentido único.;03 Marcas Viales;Lado por el que Circular con Isletas y/o Continua.;37.80;no;rgc
67756;En carretera, ¿cuándo puede adelantar por la derecha?;Cuando conduzco por una calzada con más de dos carriles.;Cuando está libre el carril de la derecha.;Cuando el vehículo que va delante va a girar a la izquierda y hay espacio libre en la calzada.;Cuando el vehículo que va delante va a girar a la izquierda y hay espacio libre en la calzada.;06 Uso de la via y Adelantamientos;Excepciones Adelantamiento por la Derecha.;15.65;no;rgc
67758;En una vía en la que se ha habilitado un carril adicional circunstancial, ¿qué vehículos están obligados a llevar encendida, al menos, la luz de cruce?;Todos.;Sólo los vehículos que circulen por el carril adicional.;Sólo los vehículos que circulen por los arcenes.;Todos.;09 Arcenes y Carriles Especiales;Carril Adicional.;15.97;no;rgc
67759;Un conductor, ¿está obligado a colaborar en las pruebas de detección de emisión de gases contaminantes de su vehículo?;Sí, están obligados todos los conductores de vehículos.;Sí, pero unicamente cuando pase la ITV.;No, unicamente está obligado a colaborar en las pruebas de alcoholemia.;Sí, están obligados todos los conductores de vehículos.;14 Mecánica;Etiquetas Contaminación;10.50;no;fuera
67760;En vía urbana de un solo sentido, los usuarios de un vehículo estacionado deberán salir de él...;por el lado derecho o izquierdo, según el lado de la calzada donde se efectúe la inmovilización.;siempre por el lado del conductor.;por el lado derecho.;por el lado derecho o izquierdo, según el lado de la calzada donde se efectúe la inmovilización.;05 Inmovilizaciones;Antes de Bajarnos del Coche.;15.18;no;rgc
67761;¿Qué velocidades o marchas sirven para conseguir más velocidad?;La 4ª y la 5ª.;La 1ª y la 2ª.;La 3ª y la 4ª.;La 4ª y la 5ª.;14 Mecánica;Aceite, Líquido Refrigerante y Las Marchas.;12.50;no;fuera
67762;Un camión de menos de 3.500 kg de MMA, ¿a qué velocidad máxima puede circular por autovía?;A 120 km/h.;A 100 km/h.;A 90 km/h.;A 90 km/h.;15 Velocidad;Via sin pavimentar;19.04;no;rgc
67763;Una línea discontinua con trazos muy juntos, ¿qué indica?;La proximidad de un carril para tráfico lento.;La proximidad de un tramo peligroso.;Un carril especial.;La proximidad de un tramo peligroso.;03 Marcas Viales;Flecha fin de carril;13.76;no;rgc
67764;En esta autopista, ¿por qué carril debe circular?;Por el carril que más convenga a su destino.;Por el carril de la derecha normalmente.;Por el carril de la izquierda.;Por el carril de la derecha normalmente.;06 Uso de la via y Adelantamientos;Uso de Carriles en Vías de Sentido Único.;14.77;no;rgc
67767;¿Cómo se debe actuar cuando las ruedas traseras derrapen?;Girar el volante hacia el mismo lado.;Girar el volante hacia el lado contrario.;Agarrar el volante fuerte y no girarlo.;Girar el volante hacia el mismo lado.;18 Factores Humano, Vía, Vehículo;Como Tomar una Curva.;18.27;no;fuera
67769;¿Qué indica la señal?;Fin de prohibido circular a más de 50 Km/h.;Prohibido circular a más de 50 km/h.;Obligatorio circular como mínimo a 50 Km/h.;Fin de prohibido circular a más de 50 Km/h.;07 Señales de Peligro y Prohibición;Casos en que Acaba el Límite de Velocidad.;1.72;no;rgc
67770;¿Qué documento acredita que un vehículo reúne las condiciones técnicas necesarias para circular?;La tarjeta ITV.;El recibo del impuesto de vehículos de tracción mecánica.;El certificado del seguro y el último recibo del pago de la prima.;La tarjeta ITV.;11 Permisos de Conducir;Documentación Remolques;1.06;no;fuera
67772;A un peatón de edad avanzada, ¿le afecta el exceso de ruido?;Sí, el exceso de ruido afecta a cualquier tipo de peatón por igual.;Sí, y le puede impedir oír y darse cuenta si se acerca un vehículo.;No.;Sí, y le puede impedir oír y darse cuenta si se acerca un vehículo.;18 Factores Humano, Vía, Vehículo;Los Niños y los Ancianos.;10.51;no;fuera
67773;En una glorieta, ¿por dónde se debe circular?;Puedo circular por la derecha o por la izquierda indistintamente.;Por la derecha, dejando a mi izquierda el centro de la glorieta.;Por la izquierda, dejando a mi derecha el centro de la glorieta.;Por la derecha, dejando a mi izquierda el centro de la glorieta.;09 Arcenes y Carriles Especiales;Circulación en Glorietas.;14.06;no;rgc
67777;El vehículo azul sale marcha atrás de un garaje. ¿Quién tiene preferencia?;La bicicleta.;El vehículo azul.;Ninguno de los dos.;La bicicleta.;10 Preferencias;Salida de un sitio particular;1.14;no;rgc
67778;Hay nieve y sólo tiene cadenas para dos ruedas. ¿Dónde debe ponerlas?;En las ruedas delanteras siempre.;En las ruedas traseras siempre.;En las ruedas motrices siempre.;En las ruedas motrices siempre.;14 Mecánica;Cadenas y Ruedas Motrices.;5.07;no;fuera
67780;Cuando otro vehículo que circula detrás de su turismo está muy próximo, se recomienda….;echarse a un lado inmediatamente para que pueda adelantar.;aumentar la distancia de seguridad por delante siempre que sea posible.;frenar bruscamente para alejar al coche que circula detrás.;aumentar la distancia de seguridad por delante siempre que sea posible.;18 Factores Humano, Vía, Vehículo;Distancias de Seguridad.;3.61;no;fuera
67781;Cuando sienta fatiga al volante, debe tener en cuenta que...;se producen efectos similares a una tasa de alcoholemia de 0,5 gramos por litro de sangre.;el deslumbramiento es constante.;el sueño puede aparecer de un momento a otro.;el sueño puede aparecer de un momento a otro.;17 Tiempo y Distancia de Reacción y Factores Que Intervienen;La Fatiga.;8.23;no;fuera
67782;En una autopista con hielo en el pavimento, ¿está permitido circular a 40 km/h?;Sí, porque se trata de una circunstancia especial.;Sí, pero debe circular por el arcén para no entorpecer a los vehículos que circulen más rápido.;No, porque es una velocidad anormalmente reducida.;Sí, porque se trata de una circunstancia especial.;15 Velocidad;La Velocidad Adecuada.;12.24;no;rgc
67783;Una de las infracciones de los conductores que implica más riesgo para los peatones es...;no utilizar los cinturones de seguridad.;incumplir las indicaciones de los semáforos en amarillo o en rojo.;el exceso de velocidad en autopistas.;incumplir las indicaciones de los semáforos en amarillo o en rojo.;18 Factores Humano, Vía, Vehículo;Los Peatones.;1.43;no;fuera
67784;Esta señal, ¿qué indica?;La velocidad máxima que se aconseja no sobrepasar, aunque las circunstancias meteorológicas sean favorables.;La velocidad máxima a la que podemos circular.;La velocidad mínima a la que debemos circular.;La velocidad máxima que se aconseja no sobrepasar, aunque las circunstancias meteorológicas sean favorables.;08 Señales de Obligación e Indicación;indicacion intervalo velocidad;23.96;si;rgc
67786;Las ruedas tienen la presión correcta. Después de un viaje, comprueba que la presión ha aumentado. ¿Qué debe hacer?;Quitar aire de las ruedas.;Echar agua a las ruedas para que se enfríen.;No quitar aire, porque el aire se ha calentado y por eso tiene más presión.;No quitar aire, porque el aire se ha calentado y por eso tiene más presión.;14 Mecánica;Los Neumáticos.;2.95;no;fuera
67789;Las motocicletas con más de cinco años de antigüedad deben pasar la ITV...;cada año.;cada cinco años.;cada dos años.;cada dos años.;11 Permisos de Conducir;Periodicidad ITV.;17.19;no;fuera
67791;Si han consumido estupefacientes o sustancias análogas que alteren el estado físico o mental apropiado para conducir sin peligro, no podrán circular por las vías públicas...;ni los conductores de vehículos, ni los de bicicletas ni los peatones.;ni los conductores de vehículos ni los de bicicletas.;los conductores de vehículos a motor, pero sí las bicicletas.;ni los conductores de vehículos ni los de bicicletas.;17 Tiempo y Distancia de Reacción y Factores Que Intervienen;Efectos de las Drogas.;15.58;no;fuera
67792;Las señales de la fotografía, ¿qué indican?;Obligan a detenerse y permiten girar a la derecha.;Obligan a detenerse y prohiben girar a la derecha.;Obligan a detenerse y obligan a girar a la derecha.;Obligan a detenerse y prohiben girar a la derecha.;07 Señales de Peligro y Prohibición;Prohibido Girar a la Izquierda.;2.17;no;rgc
67793;Esta señal indica la obligación de circular utilizando el alumbrado de...;corto alcance, al menos, con independencia de las condiciones de visibilidad e iluminación de la vía.;largo alcance, al menos, con independencia de las condiciones de visibilidad e iluminación de la vía.;corto o largo alcance, dependiendo de las condiciones de visibilidad e iluminación de la vía.;corto alcance, al menos, con independencia de las condiciones de visibilidad e iluminación de la vía.;08 Señales de Obligación e Indicación;fin de obligacion luz de cruce;19.33;si;rgc
67794;¿Hay que revisar periódicamente el estado de las pastillas y los discos de freno?;Sí.;El estado de las pastillas sí, los discos no se estropean.;No.;Sí.;14 Mecánica;Los Frenos.;0.85;no;fuera
67797;Esta señal indica el lugar desde donde deja de ser aplicable una anterior señal de...;velocidad máxima.;prohibición de adelantamiento.;velocidad mínima.;velocidad máxima.;07 Señales de Peligro y Prohibición;Casos en que Acaba el Límite de Velocidad.;19.98;si;rgc
67799;En vías de dos calzadas separadas por medianas, como norma general, se circulará:;Por la calzada de la izquierda en el sentido de la marcha.;Por la calzada de la derecha en el sentido de la marcha.;Por la calzada que mejor convenga al destino del conductor.;Por la calzada de la derecha en el sentido de la marcha.;01 Definiciones;2 calzadas;12.04;no;rgc
67801;En una calle cortada, donde no es posible circular hacia delante, pero sí cambiar de sentido, ¿está permitido circular marcha atrás?;Sí, pero sin invadir un cruce de vías.;Sí, si no recorre más de 15 metros.;No.;No.;04 Cambios de direccion, de sentido y marcha atrás;Camara trasera;27.17;no;rgc
67802;Esta señal indica que...;hay una salida a través de la cual podrá hacerse un cambio de sentido a distinto nivel.;próximamente existe una entrada a una autopista.;existe un túnel.;hay una salida a través de la cual podrá hacerse un cambio de sentido a distinto nivel.;08 Señales de Obligación e Indicación;Señales de Indicación 2.;0.89;si;rgc
67805;El arcén de la derecha es transitable y suficiente. ¿Qué vehículos deben circular por él, como norma general?;Los vehículos con M.M.A no superior a 3.500 kg que circulen a velocidad anormalmente reducida.;Los ciclos, ciclomotores y vehículos para personas de movilidad reducida.;Los vehículos especiales con M.M.A superior a 3.500 kg.;Los ciclos, ciclomotores y vehículos para personas de movilidad reducida.;09 Arcenes y Carriles Especiales;Vehículos Obligados a Circular por el Arcén.;18.35;no;rgc
67807;Ante un semáforo en rojo situado antes de una intersección, ¿dónde hay que detenerse?;Inmediatamente después del semáforo.;Ante la línea de detención anterior más próxima al semáforo y, si no existe, a la altura del semáforo, sin rebasarlo.;En el cruce de las dos vías, sin invadir la vía transversal.;Ante la línea de detención anterior más próxima al semáforo y, si no existe, a la altura del semáforo, sin rebasarlo.;03 Marcas Viales;Línea de Detención Continua.;2.01;no;rgc
